"","t","mean_nsae_h2o","n"
"1",2020-05-04 14:00:00,53.0441161980751,14
"2",2020-05-05 02:00:00,-1.95461753030902,12
"3",2020-05-05 14:00:00,65.4831957380926,17
"4",2020-05-06 02:00:00,3.53847330890666,7
"5",2020-05-06 14:00:00,64.1311361419253,18
"6",2020-05-07 02:00:00,4.41272060417395,11
"7",2020-05-07 14:00:00,34.7690751065127,20
"8",2020-05-08 02:00:00,1.24674550382879,13
"9",2020-05-08 14:00:00,58.2172830200866,15
"10",2020-05-09 02:00:00,0.0874174960311967,10
"11",2020-05-09 14:00:00,51.7257162221901,21
"12",2020-05-10 02:00:00,1.99300954828408,12
"13",2020-05-10 14:00:00,58.8661027994232,20
"14",2020-05-11 02:00:00,4.13582657188356,8
"15",2020-05-11 14:00:00,68.7147250183228,17
"16",2020-05-12 02:00:00,3.97596516608717,19
"17",2020-05-12 14:00:00,56.368397103575,20
"18",2020-05-13 02:00:00,-2.56299556228331,12
"19",2020-05-13 14:00:00,24.6101752131235,18
"20",2020-05-14 02:00:00,-2.2405139792574,14
"21",2020-05-14 14:00:00,29.9686417064742,16
"22",2020-05-15 02:00:00,-0.882988384845624,13
"23",2020-05-15 14:00:00,26.7919822950582,20
"24",2020-05-16 02:00:00,1.99948037713679,9
"25",2020-05-16 14:00:00,48.9120587056999,16
"26",2020-05-17 02:00:00,0.536506571939228,8
"27",2020-05-17 14:00:00,45.6754415185847,14
"28",2020-05-18 02:00:00,4.74575925469182,16
"29",2020-05-18 14:00:00,31.4904258825894,18
"30",2020-05-19 02:00:00,6.37988726804181,17
"31",2020-05-19 14:00:00,34.5850714940787,18
"32",2020-05-20 02:00:00,1.3870679231531,17
"33",2020-05-20 14:00:00,50.0603234452237,16
"34",2020-05-21 02:00:00,6.96230094515452,15
"35",2020-05-21 14:00:00,63.2754416259423,18
"36",2020-05-22 02:00:00,-1.4140186999198,11
"37",2020-05-22 14:00:00,42.8847584602528,10
"38",2020-05-23 02:00:00,NA,10
"39",2020-05-23 14:00:00,NA,12
"40",2020-05-24 02:00:00,NA,16
"41",2020-05-24 14:00:00,NA,17
"42",2020-05-25 02:00:00,NA,18
"43",2020-05-25 14:00:00,NA,17
"44",2020-05-26 02:00:00,NA,20
"45",2020-05-26 14:00:00,NA,16
"46",2020-05-27 02:00:00,3.46619820577585,10
"47",2020-05-27 14:00:00,28.5262923379204,17
"48",2020-05-28 02:00:00,4.71733406736901,7
"49",2020-05-28 14:00:00,39.1414475921121,17
"50",2020-05-29 02:00:00,1.89774992061966,8
"51",2020-05-29 14:00:00,43.1114510263263,17
"52",2020-05-30 02:00:00,NA,12
"53",2020-05-30 14:00:00,NA,17
"54",2020-05-31 02:00:00,NA,13
"55",2020-05-31 14:00:00,NA,18
"56",2020-06-01 02:00:00,NA,16
"57",2020-06-01 14:00:00,NA,17
"58",2020-06-02 02:00:00,NA,17
"59",2020-06-02 14:00:00,NA,18
"60",2020-06-03 02:00:00,2.89596241974804,10
"61",2020-06-03 14:00:00,NA,16
"62",2020-06-04 02:00:00,NA,19
"63",2020-06-04 14:00:00,NA,16
"64",2020-06-05 02:00:00,NA,19
"65",2020-06-05 14:00:00,NA,16
"66",2020-06-06 02:00:00,NA,15
"67",2020-06-07 02:00:00,NA,6
"68",2020-06-07 14:00:00,NA,13
"69",2020-06-08 02:00:00,NA,12
"70",2020-06-08 14:00:00,NA,17
"71",2020-06-09 02:00:00,NA,15
"72",2020-06-09 14:00:00,NA,19
"73",2020-06-10 02:00:00,NA,18
"74",2020-06-10 14:00:00,NA,14
"75",2020-06-11 02:00:00,NA,19
"76",2020-06-11 14:00:00,NA,19
"77",2020-06-12 02:00:00,NA,17
"78",2020-06-12 14:00:00,NA,18
"79",2020-06-13 02:00:00,NA,21
"80",2020-06-13 14:00:00,NA,19
"81",2020-06-14 02:00:00,NA,12
"82",2020-06-14 14:00:00,NA,17
"83",2020-06-15 02:00:00,NA,20
"84",2020-06-15 14:00:00,NA,15
"85",2020-06-16 02:00:00,NA,12
"86",2020-06-16 14:00:00,14.0177644248195,10
"87",2020-06-17 02:00:00,NA,11
"88",2020-06-17 14:00:00,NA,12
"89",2020-06-18 02:00:00,NA,22
"90",2020-06-18 14:00:00,NA,11
"91",2020-06-19 02:00:00,NA,19
"92",2020-06-19 14:00:00,NA,14
"93",2020-06-20 02:00:00,NA,22
"94",2020-06-20 14:00:00,NA,15
"95",2020-06-21 02:00:00,NA,20
"96",2020-06-21 14:00:00,NA,13
"97",2020-06-22 02:00:00,-1.38154409374067,20
"98",2020-06-22 14:00:00,NA,10
"99",2020-06-23 02:00:00,3.76787446127571,11
"100",2020-06-23 14:00:00,NA,7
"101",2020-06-24 02:00:00,NA,24
"102",2020-06-24 14:00:00,NA,16
"103",2020-06-25 02:00:00,-0.739042932999377,10
"104",2020-06-25 14:00:00,24.1678925120779,9
"105",2020-06-26 02:00:00,-0.0521550250451655,10
"106",2020-06-26 14:00:00,23.0454155067346,8
"107",2020-06-27 02:00:00,NA,15
"108",2020-06-27 14:00:00,NA,16
"109",2020-06-28 02:00:00,NA,16
"110",2020-06-28 14:00:00,31.4823062371286,17
"111",2020-06-29 02:00:00,NA,7
"112",2020-06-29 14:00:00,NA,15
"113",2020-06-30 02:00:00,NA,19
"114",2020-06-30 14:00:00,NA,9
"115",2020-07-01 02:00:00,NA,13
"116",2020-07-01 14:00:00,NA,17
"117",2020-07-02 02:00:00,NA,11
"118",2020-07-02 14:00:00,NA,12
"119",2020-07-03 02:00:00,NA,15
"120",2020-07-03 14:00:00,NA,19
"121",2020-07-04 02:00:00,NA,13
"122",2020-07-04 14:00:00,NA,18
"123",2020-07-05 02:00:00,NA,16
"124",2020-07-05 14:00:00,NA,14
"125",2020-07-06 02:00:00,NA,18
"126",2020-07-06 14:00:00,NA,17
"127",2020-07-07 02:00:00,NA,13
"128",2020-07-07 14:00:00,NA,22
"129",2020-07-08 02:00:00,NA,12
"130",2020-07-08 14:00:00,NA,13
"131",2020-07-09 02:00:00,NA,21
"132",2020-07-09 14:00:00,NA,14
"133",2020-07-10 02:00:00,NA,22
"134",2020-07-10 14:00:00,NA,13
"135",2020-07-11 02:00:00,NA,18
"136",2020-07-11 14:00:00,NA,18
"137",2020-07-12 02:00:00,NA,22
"138",2020-07-12 14:00:00,NA,16
"139",2020-07-13 02:00:00,NA,18
"140",2020-07-13 14:00:00,NA,17
"141",2020-07-14 02:00:00,NA,12
"142",2020-07-14 14:00:00,NA,20
"143",2020-07-15 02:00:00,NA,17
"144",2020-07-15 14:00:00,NA,16
"145",2020-07-16 02:00:00,NA,17
"146",2020-07-16 14:00:00,NA,12
"147",2020-07-17 02:00:00,NA,19
"148",2020-07-17 14:00:00,NA,16
"149",2020-07-18 02:00:00,NA,22
"150",2020-07-18 14:00:00,9.13776223783493,1
